year,block,irrigation,crop,cereal_yield
2022,1,WW,Pea,NA
2023,1,WW,Pea,NA
2022,1,WW,75Wheat+75Pea,403.8885246
2023,1,WW,75Wheat+75Pea,376.3934426
2022,1,WW,75Wheat+50Pea,315.2065574
2023,1,WW,75Wheat+50Pea,537.0491803
2022,1,WW,75Wheat+25Pea,472.2622951
2023,1,WW,75Wheat+25Pea,511.4754098
2022,1,WW,50Wheat+50Pea,270.957377
2023,1,WW,50Wheat+50Pea,257.0491803
2022,1,WW,75Barley+75Pea,429.8229508
2023,1,WW,75Barley+75Pea,408.5245902
2022,1,WW,75Barley+50Pea,379.5147541
2023,1,WW,75Barley+50Pea,468.1967213
2022,1,WW,75Barley+25Pea,564.4590164
2023,1,WW,75Barley+25Pea,413.1147541
2022,1,WW,50Barley+50Pea,404.6229508
2023,1,WW,50Barley+50Pea,564.5901639
2022,1,WW,Wheat,380.8918033
2023,1,WW,Wheat,358.0327869
2022,1,WW,Barley,683.4754098
2023,1,WW,Barley,514.0983607
2022,1,DS,Pea,NA
2023,1,DS,Pea,NA
2022,1,DS,75Wheat+25Pea,318.295082
2023,1,DS,75Wheat+25Pea,301.6393443
2022,1,DS,50Barley+50Pea,304.695082
2023,1,DS,50Barley+50Pea,390.1639344
2022,1,DS,50Wheat+50Pea,117.2786885
2023,1,DS,50Wheat+50Pea,206.557377
2022,1,DS,75Wheat+75Pea,170.6163934
2023,1,DS,75Wheat+75Pea,275.4098361
2022,1,DS,75Wheat+50Pea,210.2754098
2023,1,DS,75Wheat+50Pea,252.4590164
2022,1,DS,75Barley+25Pea,508.0655738
2023,1,DS,75Barley+25Pea,708.1967213
2022,1,DS,75Barley+75Pea,384.8852459
2023,1,DS,75Barley+75Pea,289.1803279
2022,1,DS,75Barley+50Pea,154.504918
2023,1,DS,75Barley+50Pea,468.1967213
2022,1,DS,Wheat,230.7016393
2023,1,DS,Wheat,165.2459016
2022,1,DS,Barley,353.9016393
2023,1,DS,Barley,330.4918033
2022,2,DS,75Barley+50Pea,275.2262295
2023,2,DS,75Barley+50Pea,486.557377
2022,2,DS,75Wheat+75Pea,147.1606557
2023,2,DS,75Wheat+75Pea,257.0491803
2022,2,DS,75Barley+25Pea,339.4098361
2023,2,DS,75Barley+25Pea,668.852459
2022,2,DS,Pea,NA
2023,2,DS,Pea,NA
2022,2,DS,50Barley+50Pea,136.9704918
2023,2,DS,50Barley+50Pea,459.0163934
2022,2,DS,50Wheat+50Pea,95.10819672
2023,2,DS,50Wheat+50Pea,128.5245902
2022,2,DS,75Wheat+25Pea,210.8852459
2023,2,DS,75Wheat+25Pea,249.1803279
2022,2,DS,75Barley+75Pea,281.8819672
2023,2,DS,75Barley+75Pea,335.0819672
2022,2,DS,75Wheat+50Pea,186.3606557
2023,2,DS,75Wheat+50Pea,215.7377049
2022,2,DS,Wheat,231.3442623
2023,2,DS,Wheat,413.1147541
2022,2,DS,Barley,132.0131148
2023,2,DS,Barley,422.295082
2022,2,WW,50Barley+50Pea,185.304918
2023,2,WW,50Barley+50Pea,706.8852459
2022,2,WW,75Barley+75Pea,293.2196721
2023,2,WW,75Barley+75Pea,702.295082
2022,2,WW,75Wheat+75Pea,111.9081967
2023,2,WW,75Wheat+75Pea,426.8852459
2022,2,WW,75Wheat+25Pea,222.0983607
2023,2,WW,75Wheat+25Pea,373.7704918
2022,2,WW,75Barley+25Pea,444.5245902
2023,2,WW,75Barley+25Pea,432.7868852
2022,2,WW,50Wheat+50Pea,193.2918033
2023,2,WW,50Wheat+50Pea,555.4098361
2022,2,WW,75Wheat+50Pea,226.3868852
2023,2,WW,75Wheat+50Pea,335.0819672
2022,2,WW,Pea,NA
2023,2,WW,Pea,NA
2022,2,WW,75Barley+50Pea,327.3704918
2023,2,WW,75Barley+50Pea,564.5901639
2022,2,WW,Wheat,170.9377049
2023,2,WW,Wheat,275.4098361
2022,2,WW,Barley,552.0131148
2023,2,WW,Barley,495.7377049
2022,3,WW,75Wheat+75Pea,294.9180328
2023,3,WW,75Wheat+75Pea,302.9508197
2022,3,WW,75Wheat+50Pea,318.8327869
2023,3,WW,75Wheat+50Pea,385.5737705
2022,3,WW,75Wheat+25Pea,453.1803279
2023,3,WW,75Wheat+25Pea,295.0819672
2022,3,WW,50Barley+50Pea,457.042623
2023,3,WW,50Barley+50Pea,628.852459
2023,3,WW,Pea,NA
2023,3,WW,75Barley+25Pea,511.4754098
2022,3,WW,75Barley+50Pea,62.12786885
2023,3,WW,75Barley+50Pea,550.8196721
2022,3,WW,50Wheat+50Pea,113.0327869
2023,3,WW,50Wheat+50Pea,385.5737705
2022,3,WW,75Barley+75Pea,233.295082
2023,3,WW,75Barley+75Pea,679.3442623
2022,3,WW,Wheat,155.2393443
2023,3,WW,Wheat,321.3114754
2022,3,WW,Barley,218.4
2023,3,WW,Barley,670.1639344
2022,3,DS,75Wheat+25Pea,143.3770492
2023,3,DS,75Wheat+25Pea,367.2131148
2022,3,DS,Pea,NA
2023,3,DS,Pea,NA
2022,3,DS,75Barley+75Pea,193.842623
2023,3,DS,75Barley+75Pea,298.3606557
2022,3,DS,75Barley+50Pea,186.2229508
2023,3,DS,75Barley+50Pea,335.0819672
2022,3,DS,75Barley+25Pea,257.6721311
2023,3,DS,75Barley+25Pea,504.9180328
2022,3,DS,75Wheat+75Pea,98
2023,3,DS,75Wheat+75Pea,316.7213115
2022,3,DS,50Barley+50Pea,121.9606557
2023,3,DS,50Barley+50Pea,440.6557377
2022,3,DS,50Wheat+50Pea,81.63606557
2023,3,DS,50Wheat+50Pea,344.2622951
2022,3,DS,75Wheat+50Pea,109.5672131
2023,3,DS,75Wheat+50Pea,312.1311475
2022,3,DS,Wheat,117.9213115
2023,3,DS,Wheat,477.3770492
2022,3,DS,Barley,237.9081967
2023,3,DS,Barley,1220.983607
2022,4,DS,75Barley+75Pea,287
2023,4,DS,75Barley+75Pea,408.5245902
2022,4,DS,75Wheat+75Pea,134.0327869
2023,4,DS,75Wheat+75Pea,459.0163934
2022,4,DS,75Wheat+25Pea,167.6065574
2023,4,DS,75Wheat+25Pea,347.5409836
2023,4,DS,75Barley+25Pea,563.9344262
2022,4,DS,75Barley+50Pea,214.7278689
2023,4,DS,75Barley+50Pea,555.4098361
2022,4,DS,75Wheat+50Pea,93.6852459
2023,4,DS,75Wheat+50Pea,206.557377
2022,4,DS,50Barley+50Pea,204.147541
2023,4,DS,50Barley+50Pea,449.8360656
2022,4,DS,Pea,NA
2023,4,DS,Pea,NA
2023,4,DS,50Wheat+50Pea,243.2786885
2022,4,DS,Wheat,131.8295082
2023,4,DS,Wheat,504.9180328
2022,4,DS,Barley,266.8721311
2023,4,DS,Barley,569.1803279
2022,4,WW,75Wheat+50Pea,124.6918033
2023,4,WW,75Wheat+50Pea,335.0819672
2022,4,WW,75Barley+25Pea,294.295082
2023,4,WW,75Barley+25Pea,662.295082
2022,4,WW,Pea,NA
2023,4,WW,Pea,NA
2022,4,WW,75Wheat+75Pea,104.4491803
2023,4,WW,75Wheat+75Pea,261.6393443
2022,4,WW,75Barley+50Pea,273.8262295
2023,4,WW,75Barley+50Pea,495.7377049
2022,4,WW,75Barley+75Pea,289.2032787
2023,4,WW,75Barley+75Pea,491.147541
2022,4,WW,75Wheat+25Pea,147.704918
2023,4,WW,75Wheat+25Pea,295.0819672
2022,4,WW,50Wheat+50Pea,71.12459016
2023,4,WW,50Wheat+50Pea,302.9508197
2022,4,WW,50Barley+50Pea,250.3934426
2023,4,WW,50Barley+50Pea,481.9672131
2022,4,WW,Wheat,187.8754098
2023,4,WW,Wheat,550.8196721
2022,4,WW,Barley,352.2032787
2023,4,WW,Barley,660.9836066
