site,block,variety,yield
site_9,2,variety_15,1447.95831
site_5,1,variety_17,1450.585107
site_9,2,variety_28,1453.381375
site_3,3,variety_33,1454.804449
site_1,1,variety_34,1458.80444
site_4,4,variety_2,1458.80444
site_3,4,variety_20,1458.890978
site_4,1,variety_15,1460.160206
site_3,4,variety_29,1460.52559
site_2,1,variety_2,1462.871739
site_8,2,variety_5,1463.009434
site_5,4,variety_5,1467.871126
site_4,2,variety_21,1468.294803
site_1,2,variety_23,1472.362102
site_9,3,variety_11,1473.717868
site_9,3,variety_10,1477.785167
site_8,4,variety_30,1479.515181
site_3,4,variety_10,1480.140931
site_3,2,variety_32,1481.775543
site_9,3,variety_37,1484.563998
site_9,3,variety_11,1485.919764
site_3,3,variety_28,1487.496684
site_8,4,variety_7,1488.518316
site_9,2,variety_37,1488.631297
site_9,3,variety_16,1492.698595
site_8,4,variety_29,1493.019884
site_8,3,variety_36,1493.019884
site_4,4,variety_7,1500.833192
site_8,4,variety_9,1502.023018
site_9,2,variety_8,1502.188959
site_8,3,variety_6,1503.523541
site_4,1,variety_36,1503.544725
site_2,3,variety_38,1504.900491
site_8,1,variety_1,1506.524586
site_8,3,variety_12,1506.524586
site_5,2,variety_36,1509.645673
site_5,3,variety_35,1511.086174
site_3,4,variety_28,1511.418598
site_3,3,variety_7,1512.01586
site_4,3,variety_2,1513.035088
site_9,1,variety_13,1514.390854
site_8,4,variety_4,1517.028243
site_9,3,variety_10,1518.458153
site_4,3,variety_38,1525.236984
site_3,1,variety_27,1525.91006
site_4,2,variety_2,1526.59275
site_3,3,variety_27,1529.179283
site_9,3,variety_27,1529.304283
site_3,3,variety_29,1530.813895
site_5,3,variety_36,1532.693698
site_8,2,variety_9,1533.533991
site_4,2,variety_4,1534.727348
site_4,4,variety_5,1534.727348
site_3,2,variety_18,1536.535036
site_5,1,variety_19,1538.455705
site_5,1,variety_16,1539.896206
site_5,1,variety_6,1539.896206
site_1,3,variety_36,1541.506179
site_5,3,variety_12,1542.777209
site_8,2,variety_24,1544.037648
site_5,2,variety_5,1544.217711
site_3,1,variety_28,1545.5254
site_1,4,variety_36,1546.929243
site_5,4,variety_23,1551.420219
site_2,4,variety_34,1555.063841
site_8,4,variety_24,1557.542351
site_8,3,variety_4,1557.542351
site_4,2,variety_23,1559.131139
site_9,3,variety_13,1560.486906
site_4,1,variety_18,1561.842672
site_4,4,variety_21,1561.842672
site_4,2,variety_7,1561.842672
site_9,3,variety_17,1563.198438
site_3,4,variety_17,1564.323435
site_5,2,variety_23,1568.706238
site_8,2,variety_35,1569.546531
site_1,4,variety_24,1569.977269
site_4,4,variety_29,1575.400334
site_1,3,variety_12,1576.7561
site_4,4,variety_4,1578.111866
site_1,4,variety_38,1579.467632
site_8,3,variety_13,1583.051233
site_2,4,variety_1,1584.890697
site_4,3,variety_34,1584.890697
site_4,2,variety_38,1588.957996
site_8,3,variety_5,1589.053323
site_1,3,variety_38,1590.313762
site_1,2,variety_4,1590.313762
site_4,3,variety_4,1591.669528
site_2,3,variety_1,1594.381061
site_8,4,variety_17,1596.555936
site_4,1,variety_30,1597.092593
site_5,3,variety_23,1601.837775
site_3,3,variety_10,1602.736811
site_4,4,variety_12,1603.871424
site_3,3,variety_13,1604.371423
site_5,2,variety_3,1607.599781
site_4,3,variety_7,1610.650255
site_8,4,variety_15,1611.561161
site_3,4,variety_33,1611.88435
site_9,3,variety_32,1612.006021
site_3,3,variety_2,1613.361788
site_8,3,variety_9,1616.062728
site_4,3,variety_24,1617.429086
site_1,4,variety_2,1618.784853
site_8,2,variety_19,1620.564296
site_1,3,variety_23,1621.496385
site_3,2,variety_17,1621.534846
site_9,1,variety_12,1624.207917
site_1,3,variety_35,1625.563684
site_4,3,variety_35,1628.275216
site_1,1,variety_2,1630.986748
site_1,4,variety_34,1630.986748
site_1,3,variety_20,1633.698281
site_5,3,variety_3,1634.969312
site_4,4,variety_16,1639.121346
site_8,1,variety_34,1640.071088
site_4,2,variety_35,1641.832878
site_5,4,variety_3,1643.612321
site_1,3,variety_3,1644.54441
site_4,1,variety_37,1647.255943
site_8,3,variety_8,1649.074223
site_8,4,variety_20,1652.075268
site_3,2,variety_30,1653.409775
site_5,4,variety_18,1653.695832
site_3,1,variety_30,1654.227081
site_4,2,variety_29,1658.102073
site_4,4,variety_35,1659.457839
site_9,2,variety_30,1659.457839
site_8,4,variety_19,1659.577881
site_3,2,variety_6,1660.765528
site_4,4,variety_38,1660.813605
site_9,3,variety_12,1660.813605
site_4,2,variety_36,1663.525137
site_3,4,variety_26,1663.594664
site_8,3,variety_11,1664.079448
site_4,3,variety_23,1664.880904
site_4,2,variety_1,1667.592436
site_4,1,variety_28,1673.015501
site_4,4,variety_9,1673.015501
site_5,3,variety_24,1675.303356
site_4,4,variety_24,1675.727033
site_3,2,variety_21,1676.29434
site_3,2,variety_28,1676.29434
site_5,4,variety_28,1676.743858
site_5,3,variety_17,1678.18436
site_8,3,variety_24,1680.585196
site_4,1,variety_12,1682.505864
site_4,3,variety_28,1682.505864
site_4,1,variety_29,1687.928929
site_1,1,variety_38,1690.640462
site_4,1,variety_31,1690.640462
site_8,2,variety_4,1691.088853
site_5,1,variety_15,1696.91088
site_2,3,variety_24,1697.419293
site_4,3,variety_12,1698.775059
site_4,2,variety_5,1700.130825
site_8,2,variety_37,1701.59251
site_8,4,variety_31,1703.093033
site_4,2,variety_16,1704.198124
site_2,2,variety_35,1705.55389
site_8,3,variety_29,1706.094078
site_8,1,variety_35,1706.094078
site_4,1,variety_13,1706.909656
site_8,4,variety_28,1707.5946
site_4,1,variety_20,1708.265422
site_4,4,variety_19,1709.621188
site_9,2,variety_10,1709.621188
site_8,1,variety_21,1710.595645
site_5,3,variety_4,1712.756398
site_8,3,variety_33,1716.597735
site_4,3,variety_36,1719.111552
site_5,4,variety_13,1721.399407
site_8,2,variety_8,1724.100348
site_8,2,variety_12,1725.60087
site_2,2,variety_36,1727.246149
site_2,3,variety_36,1728.601915
site_4,2,variety_28,1734.02498
site_1,4,variety_33,1735.380746
site_4,1,variety_14,1735.380746
site_3,3,variety_20,1736.774974
site_2,1,variety_36,1738.092279
site_3,4,variety_6,1740.421416
site_8,3,variety_30,1740.606095
site_8,2,variety_16,1742.106618
site_8,4,variety_26,1742.106618
site_4,2,variety_25,1742.159577
site_8,1,variety_16,1748.108708
site_2,1,variety_33,1748.938408
site_2,1,variety_1,1750.294175
site_1,2,variety_1,1751.649941
site_1,2,variety_11,1751.649941
site_1,3,variety_4,1753.005707
site_8,4,variety_27,1758.612365
site_5,2,variety_17,1758.852449
site_4,1,variety_4,1759.784538
site_8,1,variety_38,1761.61341
site_5,4,variety_10,1761.733452
site_8,2,variety_17,1763.113933
site_2,4,variety_8,1763.851837
site_5,4,variety_12,1764.614455
site_4,4,variety_36,1766.563369
site_8,3,variety_18,1772.117068
site_8,1,variety_4,1773.61759
site_4,4,variety_1,1777.409499
site_5,1,variety_18,1777.57897
site_1,2,variety_5,1781.476797
site_5,2,variety_24,1781.900474
site_8,2,variety_30,1782.620725
site_9,3,variety_29,1785.544096
site_5,1,variety_37,1789.102982
site_8,3,variety_37,1791.62386
site_5,1,variety_31,1791.983986
site_4,1,variety_24,1792.322927
site_8,3,variety_19,1794.624905
site_4,4,variety_23,1795.03446
site_4,1,variety_33,1796.390226
site_8,4,variety_14,1799.126473
site_5,3,variety_11,1800.626995
site_4,1,variety_11,1801.813291
site_9,3,variety_13,1801.813291
site_5,4,variety_31,1802.067497
site_4,2,variety_17,1803.169057
site_4,3,variety_17,1803.169057
site_2,3,variety_34,1808.592122
site_8,4,variety_25,1809.63013
site_4,1,variety_7,1809.947888
site_4,1,variety_9,1809.947888
site_4,4,variety_17,1814.015186
site_8,4,variety_12,1814.131698
site_8,1,variety_36,1814.131698
site_5,2,variety_15,1815.032011
site_1,3,variety_33,1815.370953
site_9,1,variety_29,1820.794018
site_8,2,variety_13,1821.63431
site_8,4,variety_18,1823.134833
site_3,2,variety_4,1826.67862
site_4,3,variety_9,1828.928615
site_8,2,variety_25,1829.136923
site_5,3,variety_7,1833.758532
site_5,4,variety_30,1836.639535
site_4,2,variety_9,1837.063212
site_5,3,variety_15,1838.080037
site_4,1,variety_25,1838.418978
site_8,3,variety_10,1841.141103
site_4,2,variety_15,1842.486277
site_9,3,variety_19,1845.197809
site_5,1,variety_12,1846.723046
site_8,1,variety_25,1847.143193
site_8,3,variety_32,1847.143193
site_4,1,variety_8,1847.909342
site_5,1,variety_9,1849.604049
site_4,1,variety_6,1850.620874
site_5,1,variety_30,1851.044551
site_8,3,variety_20,1853.145283
site_4,2,variety_12,1853.332407
site_9,2,variety_13,1853.332407
site_5,4,variety_9,1853.925554
site_8,3,variety_28,1854.645805
site_4,4,variety_33,1854.688173
site_5,4,variety_19,1855.366056
site_8,2,variety_28,1856.146328
site_8,1,variety_29,1859.147373
site_5,1,variety_10,1862.568564
site_4,1,variety_32,1864.178536
site_4,4,variety_6,1864.178536
site_4,1,variety_17,1872.313133
site_8,3,variety_17,1874.152597
site_5,1,variety_13,1875.533078
site_5,1,variety_28,1875.533078
site_4,2,variety_13,1879.091964
site_5,1,variety_20,1879.854583
site_8,1,variety_12,1880.154687
site_8,3,variety_31,1881.65521
site_4,2,variety_18,1881.803497
site_5,3,variety_18,1882.735586
site_8,1,variety_7,1883.155732
site_4,4,variety_28,1887.226562
site_5,4,variety_17,1889.938094
site_9,2,variety_19,1892.649627
site_5,4,variety_7,1894.259599
site_5,4,variety_16,1897.140602
site_8,2,variety_15,1898.160957
site_5,2,variety_37,1898.581104
site_8,1,variety_6,1899.66148
site_1,1,variety_1,1903.495756
site_3,3,variety_15,1905.957289
site_4,2,variety_24,1906.207289
site_1,2,variety_38,1914.341886
site_4,1,variety_26,1917.053418
site_8,3,variety_26,1917.66775
site_8,4,variety_33,1917.66775
site_4,3,variety_5,1919.764951
site_8,4,variety_10,1922.169317
site_8,2,variety_7,1922.169317
site_5,3,variety_6,1923.069631
site_5,2,variety_18,1924.510132
site_5,4,variety_37,1925.950634
site_5,2,variety_9,1927.391136
site_1,4,variety_5,1929.255314
site_5,2,variety_12,1930.272139
site_5,1,variety_29,1931.71264
site_5,1,variety_33,1933.153142
site_3,2,variety_9,1933.745689
site_8,1,variety_14,1934.173497
site_4,3,variety_25,1934.678379
site_1,4,variety_4,1937.389911
site_4,4,variety_15,1937.389911
site_4,4,variety_27,1941.45721
site_5,4,variety_11,1941.796152
site_5,4,variety_20,1943.236653
site_1,2,variety_24,1945.524509
site_1,3,variety_5,1945.524509
site_8,1,variety_24,1949.178722
site_4,1,variety_27,1952.30334
site_2,2,variety_18,1956.370638
site_5,4,variety_15,1957.641669
site_1,3,variety_1,1959.082171
site_1,3,variety_37,1963.149469
site_1,4,variety_35,1964.505236
site_2,3,variety_26,1965.861002
site_4,1,variety_19,1969.9283
site_5,1,variety_26,1970.606184
site_5,1,variety_7,1970.606184
site_8,3,variety_14,1976.188127
site_8,2,variety_10,1977.68865
site_4,3,variety_29,1978.062898
site_2,3,variety_33,1979.418664
site_9,2,variety_32,1979.418664
site_3,2,variety_27,1979.514818
site_1,1,variety_23,1983.485963
site_2,4,variety_35,1983.485963
site_4,4,variety_30,1986.197495
site_1,1,variety_4,1990.264794
site_8,1,variety_5,1992.693875
site_2,2,variety_26,1995.687858
site_4,2,variety_33,1995.687858
site_1,4,variety_16,1997.043625
site_2,3,variety_35,1997.043625
site_5,2,variety_13,1999.416215
site_5,4,variety_6,1999.416215
site_1,2,variety_17,2001.110923
site_4,3,variety_16,2002.466689
site_8,1,variety_13,2004.698055
site_2,2,variety_7,2006.533988
site_8,3,variety_15,2012.200667
site_8,2,variety_33,2012.200667
site_5,2,variety_11,2013.821231
site_3,4,variety_27,2014.65897
site_5,3,variety_13,2018.142736
site_8,2,variety_6,2019.70328
site_4,2,variety_11,2020.09165
site_4,2,variety_6,2021.447416
site_3,2,variety_10,2022.014723
site_5,2,variety_19,2022.464241
site_5,3,variety_20,2023.904743
site_8,2,variety_27,2025.70537
site_5,3,variety_16,2026.785746
site_1,2,variety_16,2026.870481
site_8,3,variety_25,2027.205892
site_2,1,variety_16,2028.226247
site_4,3,variety_8,2030.93778
site_4,2,variety_20,2033.649312
site_8,1,variety_17,2037.70955
site_8,2,variety_29,2039.210072
site_5,1,variety_8,2039.75026
site_5,3,variety_37,2044.071765
site_8,1,variety_9,2045.212162
site_5,2,variety_20,2049.833771
site_2,2,variety_4,2053.985805
site_8,1,variety_26,2054.215297
site_4,3,variety_13,2055.341572
site_5,1,variety_11,2057.036279
site_5,4,variety_26,2057.036279
site_2,1,variety_26,2059.40887
site_5,3,variety_30,2061.357784
site_5,3,variety_19,2065.679289
site_5,2,variety_7,2065.679289
site_5,3,variety_9,2065.679289
site_2,4,variety_36,2066.187701
site_5,3,variety_26,2067.11979
site_4,3,variety_11,2068.899234
site_8,2,variety_14,2070.721044
site_5,3,variety_33,2071.441295
site_5,4,variety_33,2071.441295
site_5,3,variety_8,2071.441295
site_5,2,variety_30,2074.322298
site_4,4,variety_18,2075.678065
site_4,2,variety_31,2077.033831
site_4,2,variety_32,2077.033831
site_2,2,variety_37,2078.389597
site_8,2,variety_31,2081.224702
site_8,1,variety_27,2082.725224
site_5,2,variety_10,2084.40581
site_8,3,variety_27,2085.726269
site_4,3,variety_10,2086.524194
site_5,2,variety_31,2093.048819
site_5,3,variety_31,2095.929822
site_4,3,variety_19,2096.014558
site_8,2,variety_11,2097.730449
site_2,2,variety_25,2101.437623
site_5,2,variety_28,2103.13233
site_1,1,variety_35,2106.860687
site_1,4,variety_8,2106.860687
site_4,2,variety_26,2106.860687
site_5,4,variety_25,2107.453835
site_1,2,variety_36,2108.216454
site_1,1,variety_21,2110.927986
site_1,4,variety_20,2117.706817
site_4,4,variety_13,2117.706817
site_8,4,variety_11,2121.738809
site_5,2,variety_14,2121.858851
site_8,1,variety_10,2123.239332
site_5,2,variety_6,2123.299353
site_4,3,variety_33,2124.485648
site_8,1,variety_30,2127.740899
site_5,1,variety_14,2129.061359
site_1,3,variety_8,2132.620245
site_5,3,variety_29,2133.382864
site_2,3,variety_8,2135.331778
site_2,4,variety_33,2136.687544
site_8,1,variety_28,2139.745079
site_4,3,variety_30,2140.754843
site_4,2,variety_14,2142.110609
site_1,3,variety_25,2144.822141
site_5,3,variety_10,2144.906877
site_1,1,variety_36,2147.533674
site_2,2,variety_8,2147.533674
site_4,2,variety_27,2147.533674
site_2,3,variety_7,2151.600972
site_8,1,variety_31,2153.249782
site_4,3,variety_14,2154.312505
site_8,2,variety_20,2156.250827
site_5,4,variety_29,2156.430889
site_4,3,variety_27,2158.379803
site_1,2,variety_19,2159.73557
site_8,2,variety_18,2162.252917
site_1,4,variety_13,2165.158634
site_4,3,variety_31,2165.158634
site_9,3,variety_32,2166.514401
site_1,2,variety_20,2170.581699
site_4,4,variety_20,2176.004764
site_4,4,variety_37,2177.36053
site_4,3,variety_6,2177.36053
site_2,1,variety_4,2178.716296
site_1,2,variety_12,2180.072063
site_5,2,variety_16,2180.919417
site_1,1,variety_24,2181.427829
site_2,1,variety_31,2181.427829
site_4,4,variety_11,2181.427829
site_1,4,variety_17,2182.783595
site_1,4,variety_9,2182.783595
site_2,1,variety_7,2182.783595
site_4,4,variety_10,2182.783595
site_4,2,variety_19,2182.783595
site_8,1,variety_11,2184.760754
site_1,3,variety_26,2186.850894
site_1,3,variety_16,2190.918192
site_4,1,variety_10,2192.273959
site_5,4,variety_14,2195.324433
site_4,4,variety_31,2199.05279
site_5,4,variety_27,2201.086439
site_3,2,variety_20,2202.63932
site_8,4,variety_32,2202.767024
site_4,3,variety_26,2204.475854
site_4,2,variety_8,2204.475854
site_8,2,variety_32,2205.768069
site_1,1,variety_3,2209.898919
site_5,3,variety_28,2211.16995
site_4,3,variety_20,2211.254685
site_1,3,variety_13,2216.67775
site_1,1,variety_5,2219.389283
site_4,2,variety_30,2222.100815
site_2,1,variety_14,2228.879646
site_2,4,variety_9,2234.302711
site_1,2,variety_26,2237.014243
site_4,3,variety_15,2237.014243
site_2,4,variety_25,2238.37001
site_4,3,variety_18,2238.37001
site_1,2,variety_9,2239.725776
site_4,2,variety_37,2253.283438
site_8,1,variety_18,2255.285311
site_4,4,variety_14,2255.99497
site_2,2,variety_28,2257.350737
site_2,3,variety_9,2257.350737
site_4,3,variety_37,2258.706503
site_2,2,variety_29,2266.8411
site_2,3,variety_31,2268.196866
site_4,3,variety_32,2269.552632
site_2,1,variety_8,2270.908399
site_5,2,variety_27,2273.111519
site_1,3,variety_24,2280.398762
site_2,2,variety_27,2280.398762
site_2,2,variety_31,2280.398762
site_2,4,variety_6,2281.754528
site_2,4,variety_7,2281.754528
site_5,3,variety_25,2283.19503
site_1,3,variety_18,2285.821827
site_8,2,variety_26,2286.796284
site_8,1,variety_19,2289.797329
site_5,4,variety_8,2293.278541
site_1,3,variety_10,2293.956424
site_3,2,variety_25,2295.812189
site_8,1,variety_15,2297.299941
site_5,2,variety_25,2300.481049
site_4,4,variety_25,2304.802554
site_5,2,variety_33,2309.124059
site_1,4,variety_29,2310.225619
site_5,2,variety_8,2316.326567
site_2,2,variety_17,2317.00445
site_4,4,variety_8,2319.715982
site_1,2,variety_8,2326.494813
site_1,2,variety_15,2327.850579
site_8,1,variety_33,2330.311436
site_1,2,variety_18,2333.273644
site_8,1,variety_20,2333.312481
site_2,2,variety_15,2334.62941
site_2,1,variety_28,2337.340943
site_2,1,variety_37,2338.696709
site_1,4,variety_26,2340.052475
site_2,2,variety_11,2340.052475
site_1,2,variety_33,2348.187072
site_2,2,variety_33,2349.542839
site_2,1,variety_32,2352.254371
site_2,1,variety_29,2359.033202
site_2,2,variety_30,2360.388968
site_4,4,variety_26,2364.456267
site_2,2,variety_14,2369.879332
site_5,2,variety_29,2372.506129
site_1,4,variety_7,2372.590864
site_2,1,variety_12,2378.013929
site_5,1,variety_32,2378.268135
site_2,3,variety_16,2384.79276
site_1,3,variety_6,2388.860059
site_2,4,variety_18,2388.860059
site_1,3,variety_21,2392.927357
site_1,3,variety_11,2402.417721
site_2,4,variety_29,2402.417721
site_1,1,variety_37,2406.485019
site_2,1,variety_9,2406.485019
site_5,2,variety_32,2409.95917
site_2,1,variety_5,2410.552318
site_8,1,variety_37,2411.339651
site_1,4,variety_14,2413.26385
site_1,4,variety_31,2414.619617
site_1,3,variety_15,2417.331149
site_2,3,variety_4,2421.398448
site_2,4,variety_16,2422.754214
site_2,2,variety_9,2425.465746
site_2,3,variety_37,2426.821513
site_2,2,variety_16,2434.95611
site_2,4,variety_4,2437.667642
site_2,3,variety_25,2444.446473
site_2,1,variety_11,2447.158006
site_2,4,variety_27,2449.869538
site_2,3,variety_12,2451.225304
site_1,3,variety_19,2452.581071
site_5,4,variety_32,2456.055221
site_5,1,variety_27,2457.495723
site_8,1,variety_8,2463.857938
site_2,2,variety_20,2471.561797
site_5,1,variety_25,2471.900739
site_2,3,variety_5,2472.917564
site_1,2,variety_25,2476.984862
site_5,3,variety_27,2481.98425
site_2,2,variety_12,2482.407927
site_4,2,variety_10,2482.407927
site_5,3,variety_32,2492.067761
site_2,4,variety_28,2494.609823
site_2,1,variety_30,2494.609823
site_2,2,variety_5,2494.609823
site_2,2,variety_6,2495.965589
site_5,3,variety_14,2500.710771
site_4,4,variety_32,2505.455953
site_3,2,variety_14,2512.398245
site_2,3,variety_32,2527.148212
site_2,4,variety_26,2529.859744
site_2,1,variety_25,2547.484705
site_1,3,variety_31,2550.196238
site_2,4,variety_30,2556.975069
site_2,3,variety_29,2562.398133
site_1,4,variety_12,2569.176964
site_1,1,variety_11,2570.532731
site_2,3,variety_14,2577.311562
site_1,4,variety_19,2578.667328
site_1,4,variety_30,2582.734627
site_1,3,variety_30,2586.801925
site_2,3,variety_30,2588.157691
site_1,1,variety_20,2592.22499
site_1,1,variety_18,2608.494184
site_1,1,variety_14,2620.69608
site_8,1,variety_32,2621.4128
site_1,4,variety_37,2623.407613
site_2,1,variety_6,2624.763379
site_1,4,variety_11,2627.474911
site_2,3,variety_18,2630.186444
site_2,1,variety_19,2631.54221
site_1,3,variety_27,2636.965275
site_2,3,variety_17,2643.744106
site_2,4,variety_12,2650.522937
site_1,2,variety_13,2664.080599
site_2,4,variety_15,2672.215196
site_1,1,variety_33,2673.570962
site_2,3,variety_27,2685.772858
site_5,2,variety_26,2700.940493
site_1,1,variety_9,2702.042053
site_2,4,variety_13,2702.042053
site_2,4,variety_20,2702.042053
site_1,4,variety_6,2703.397819
site_2,4,variety_32,2708.820884
site_2,4,variety_31,2729.157377
site_1,1,variety_25,2734.580442
site_2,3,variety_28,2744.070805
site_2,1,variety_15,2750.849636
site_2,1,variety_17,2771.186129
site_1,2,variety_14,2773.897662
site_2,4,variety_19,2775.253428
site_2,2,variety_13,2776.609194
site_1,2,variety_32,2786.099558
site_2,3,variety_15,2786.099558
site_2,1,variety_27,2788.81109
site_2,1,variety_18,2790.166856
site_1,1,variety_26,2796.945687
site_2,3,variety_6,2806.436051
site_2,3,variety_13,2807.791817
site_2,2,variety_10,2818.637947
site_1,2,variety_37,2826.772544
site_2,2,variety_32,2829.484076
site_1,1,variety_31,2834.907141
site_1,2,variety_6,2843.041738
site_2,2,variety_19,2849.82057
site_2,3,variety_19,2851.176336
site_2,3,variety_11,2856.599401
site_2,4,variety_10,2864.733998
site_2,1,variety_20,2867.44553
site_1,2,variety_10,2868.801296
site_1,1,variety_15,2868.801296
site_2,4,variety_17,2875.580127
site_1,4,variety_28,2881.003192
site_1,1,variety_12,2882.358959
site_1,2,variety_7,2889.13779
site_2,4,variety_14,2889.13779
site_1,1,variety_32,2893.205088
site_1,1,variety_17,2901.339685
site_1,2,variety_27,2901.339685
site_1,4,variety_32,2912.185815
site_1,1,variety_7,2916.253114
site_1,2,variety_31,2928.45501
site_1,1,variety_10,2948.791503
site_1,1,variety_19,2948.791503
site_1,3,variety_14,2959.637632
site_2,4,variety_5,2970.483762
site_2,3,variety_10,2975.906827
site_1,3,variety_32,2988.108723
site_1,4,variety_25,2993.531788
site_1,2,variety_28,2996.24332
site_2,1,variety_10,3005.733683
site_1,2,variety_29,3011.156748
site_1,3,variety_9,3011.156748
site_1,1,variety_16,3017.935579
site_1,3,variety_29,3064.03163
site_2,4,variety_11,3087.079656
site_1,3,variety_17,3095.214253
site_1,1,variety_6,3099.281552
site_2,1,variety_13,3152.156434
site_1,2,variety_30,3221.300511
site_1,4,variety_27,3248.415835
site_1,1,variety_28,3348.742534
site_1,4,variety_10,3362.300196
site_1,1,variety_27,3459.915363
site_1,1,variety_29,3462.626896
site_1,1,variety_8,3523.636375
site_1,3,variety_28,3655.145697
site_1,1,variety_13,NA
site_1,4,variety_15,NA
site_1,4,variety_18,NA
site_1,1,variety_30,NA
site_1,2,variety_35,NA
site_1,3,variety_7,NA
site_2,4,variety_2,NA
site_2,3,variety_20,NA
site_2,4,variety_21,NA
site_2,4,variety_37,NA
site_3,4,variety_16,NA
site_3,2,variety_7,NA
site_3,2,variety_8,NA
